name,address,lat,lng,rating,review_count,neighborhood,region
Hayat Coffee Co,"2870 Peachtree Industrial Blvd Suite G, Duluth, GA 30097",34.0221777,-84.1496374,4.8,199,Duluth,Gwinnett
Alchemist On the Divide,"3550 W Lawrenceville St Ste 220, Duluth, GA 30096",34.0037184,-84.14497209999999,4.7,137,Duluth,Gwinnett
Cafe Flat,"2227 Duluth Hwy #109, Duluth, GA 30097",33.9773602,-84.09942629999999,4.8,296,Duluth,Gwinnett
Land of a Thousand Hills Coffee,"3176 Main St Ste 200, Duluth, GA 30096",34.001442,-84.1463605,4.8,138,Duluth,Gwinnett
Break Coffee Roasters,"3122 Hill St NW, Duluth, GA 30096",34.0033586,-84.1458303,4.6,306,Duluth,Gwinnett
TwoHa's Cafe,"2645 N Berkeley Lake Rd NW Ste 231, Duluth, GA 30096",33.97510930000001,-84.1577602,4.2,566,Duluth,Gwinnett
Tom N Toms Black Duluth,"3473 Old Norcross Rd #100a, Duluth, GA 30096",33.9661121,-84.13446929999999,4.6,344,Duluth,Gwinnett
Coffee That Matters by Phoenix Roasters,"2640 Old Peachtree Rd NW C, Duluth, GA 30097",34.0077366,-84.128918,4.7,224,Duluth,Gwinnett
Cafe Rothem,"3585 Peachtree Industrial Blvd #128, Duluth, GA 30096",34.0004547,-84.1697446,4.8,382,Duluth,Gwinnett
7 Leaves Cafe (Georgia),"4020 Satellite Blvd Ste 118, Duluth, GA 30096",33.9509524,-84.1463902,4.6,215,Duluth,Gwinnett
Qamaria Yemeni Coffee Co.,"2645 N Berkeley Lake Rd NW Ste 221, Duluth, GA 30096",33.9758157,-84.1593789,4.5,214,Duluth,Gwinnett
Blue Mountain Coffee Roasters,"2815 Lawrenceville-Suwanee Rd Ste 400, Suwanee, GA 30024",34.0249376,-84.04376359999999,4.7,493,Suwanee,Gwinnett
CafeFoam,"7788 McGinnis Ferry Rd, Suwanee, GA 30024",34.056718599999996,-84.1286272,4.9,165,Suwanee,Gwinnett
Orange Coffee suwanee,"3890 Lawrenceville-Suwanee Rd, Suwanee, GA 30024",34.0555522,-84.0617596,4.8,45,Suwanee,Gwinnett
Wise Coffee,"1095 Old Peachtree Rd NW #100, Suwanee, GA 30024",34.0023694,-84.07576809999999,4.8,193,Suwanee,Gwinnett
Awake Coffee Company,"3265 Lawrenceville-Suwanee Rd Ste 3C, Suwanee, GA 30024",34.0383378,-84.0478511,4.9,149,Suwanee,Gwinnett
Cafe SeeSaw,"2870 Lawrenceville-Suwanee Rd c1, Suwanee, GA 30024",34.024468899999995,-84.04543079999999,4.7,319,Suwanee,Gwinnett
La Ca Vietnamese Coffee House,"3370 Lawrenceville-Suwanee Rd Ste 100, Suwanee, GA 30024",34.0403407,-84.05421849999999,4.8,50,Suwanee,Gwinnett
Warm Waves Coffee Roasters,"500 Buford Hwy, Suwanee, GA 30024",34.0530675,-84.0689184,4.7,121,Suwanee,Gwinnett
Cafe Amico,"320 Town Center Ave #9A, Suwanee, GA 30024",34.0557606,-84.0631983,4.5,565,Suwanee,Gwinnett
Cafe Mixx,"2925 Lawrenceville-Suwanee Rd, Suwanee, GA 30024",34.0281072,-84.0456286,4.5,519,Suwanee,Gwinnett
45 South Cafe,"45 S Peachtree St, Norcross, GA 30071",33.941663,-84.2131,4.5,726,Norcross,Gwinnett
U&ME coffee bakery and wine,"3425 Medlock Bridge Rd site 400b, Peachtree Corners, GA 30092",33.969134,-84.2085997,4.8,280,Norcross,Gwinnett
SANYOS COFFEE,"6409 Jimmy Carter Blvd Ste 400, Norcross, GA 30071",33.9336199,-84.22242639999999,4.6,269,Norcross,Gwinnett
Refuge Coffee Co. Norcross,"127 S Peachtree St Ste C, Norcross, GA 30071",33.9405226,-84.2138319,4.6,95,Norcross,Gwinnett
Sanyos Coffee,"6409 Jimmy Carter Blvd Ste 400, Norcross, GA 30071",33.9334337,-84.2224043,5.0,4,Norcross,Gwinnett
Giulia Italian Bakery,"5165 Peachtree Pkwy NW Ste 235, Peachtree Corners, GA 30092",33.9805099,-84.2183349,4.2,459,Norcross,Gwinnett
Cafe N Chill,"100 Hurricane Shoals Rd NW D, Lawrenceville, GA 30046",33.9690735,-83.9943231,5.0,24,Lawrenceville,Gwinnett
Break Coffee Roasters (Lawrenceville),"235 N Perry St, Lawrenceville, GA 30046",33.9577728,-83.98989019999999,4.5,226,Lawrenceville,Gwinnett
Boulder Creek Coffee,"233 E Crogan St, Lawrenceville, GA 30046",33.9566793,-83.9869963,4.4,1151,Lawrenceville,Gwinnett
Reyna's Espresso & Sweets,"137 W Crogan St, Lawrenceville, GA 30046",33.9561553,-83.988828,4.5,355,Lawrenceville,Gwinnett
Mood Cafe,"2300 Margot St, Lawrenceville, GA 30043",34.0305235,-83.98686359999999,4.8,228,Lawrenceville,Gwinnett
7 Brew Coffee,"1073 Scenic Hwy S, Lawrenceville, GA 30045",33.908291999999996,-84.00356699999999,4.5,90,Lawrenceville,Gwinnett
Sunflour Dessert & Coffee,"1956 Duluth Hwy b105, Lawrenceville, GA 30043",33.9764451,-84.081912,4.7,304,Lawrenceville,Gwinnett
Beans and Butter Coffeehouse,"851 Oak Rd SW #1, Lawrenceville, GA 30044",33.887754099999995,-84.0628365,4.8,452,Lawrenceville,Gwinnett
Prevail Union | NDH,"2490 N Druid Hills Rd NE, Atlanta, GA 30329",33.8260815,-84.3232397,4.0,144,Druid Hills,Atlanta
Spiller Park Coffee SP2,"2929 N Druid Hills Rd, Atlanta, GA 30329",33.815326,-84.311954,4.3,666,Druid Hills,Atlanta
Summit Coffee Emory Village,"1565 N Decatur Rd, Atlanta, GA 30307",33.787837599999996,-84.3264504,4.5,82,Emory Village,Atlanta
Atlanta Coffee Roasters,"2205 Lavista Rd, Atlanta, GA 30329",33.8158247,-84.3130425,4.3,94,Druid Hills,Atlanta
Foxtail Coffee - Decatur,"101 W Ponce de Leon Ave Ste 110-AX, Decatur, GA 30030",33.7758197,-84.29669659999999,4.7,187,Decatur,Atlanta
The Reading Room,"429 Church St, Decatur, GA 30030",33.7751436,-84.2947751,4.2,368,Decatur,Atlanta
Bellwood Coffee - Decatur,"133 E Court Square, Decatur, GA 30030",33.775362699999995,-84.2957261,4.4,57,Decatur,Atlanta
Waller's Coffee Shop,"240 Dekalb Industrial Way, Decatur, GA 30033",33.782269299999996,-84.2755868,4.8,630,Decatur,Atlanta
Opo Coffee,"314 E Howard Ave, Decatur, GA 30030",33.772048999999996,-84.29213179999999,4.7,329,Decatur,Atlanta
Dancing Goats Decatur,"419 W Ponce de Leon Ave, Decatur, GA 30030",33.775928,-84.30325479999999,4.5,1220,Decatur,Atlanta
The Corner Cup Coffee,"2625 Lawrenceville Hwy, Decatur, GA 30033",33.8226237,-84.26176559999999,4.8,633,Decatur,Atlanta
Rebel Teahouse Decatur,"225 E Ponce de Leon Ave Apt 110, Decatur, GA 30030",33.77540400000001,-84.2943574,4.8,979,Decatur,Atlanta
Oakview Coffee,"707 East Lake Dr B, Decatur, GA 30030",33.7591531,-84.30328740000002,4.4,453,Decatur,Atlanta
Cafe Intermezzo - Midtown,"1065 Peachtree St NE, Atlanta, GA 30309",33.7832619,-84.3836706,4.5,6017,Midtown,Atlanta
For Five Coffee Atlanta,"1105 W Peachtree St NW, Atlanta, GA 30309",33.7846332,-84.3876815,4.3,347,Midtown,Atlanta
Apotheos Coffee Midtown,"740 W Peachtree St NW, Atlanta, GA 30308",33.7749224,-84.3876342,4.6,130,Midtown,Atlanta
El Vinedo Local,"730 Peachtree St NE Ste 100, Atlanta, GA 30308",33.774389299999996,-84.38490709999999,4.9,7527,Midtown,Atlanta
Dancing Goats Midtown,"33 Peachtree Pl NE, Atlanta, GA 30309",33.7804277,-84.3868304,4.5,1020,Midtown,Atlanta
Amistad Coffee,"1270 W Peachtree St NW, Atlanta, GA 30309",33.7892878,-84.3882075,4.8,57,Midtown,Atlanta
Refuge Coffee Co. Midtown,"1280 Peachtree St NE Ste 100-A, Atlanta, GA 30309",33.7896022,-84.3848271,4.6,173,Midtown,Atlanta
Daydreamer Coffee,"859 Spring St NW, Atlanta, GA 30308",33.7781484,-84.3885975,4.3,159,Midtown,Atlanta
Bloom Coffee Co.,"2025 Peachtree Rd NW, Atlanta, GA 30309",33.8095955,-84.3916768,4.6,357,Midtown,Atlanta
Foxtail Coffee - Midtown,"1230 W Peachtree St NW Unit 120, Atlanta, GA 30309",33.7883783,-84.3879661,4.6,646,Midtown,Atlanta
Land of a Thousand Hills Coffee (Midtown),"1140 Spring St NW Ste 140, Atlanta, GA 30309",33.7855631,-84.38943630000001,4.5,146,Midtown,Atlanta
East Pole Coffee Co,"676 N Highland Ave NE, Atlanta, GA 30306",33.772843,-84.3527776,4.6,203,Poncey-Highland,Atlanta
Ash Coffee,"1189 Virginia Ave NE, Atlanta, GA 30306",33.7798835,-84.3491379,4.6,281,Virginia-Highland,Atlanta
Harbor Coffee,"331 Elizabeth St NE Ste c, Atlanta, GA 30307",33.763517,-84.3585298,4.7,210,Inman Park,Atlanta
Urban Grind BrewBox,"352 University Ave SW, Atlanta, GA 30310",33.720819899999995,-84.4008806,4.9,35,West End,Atlanta
Prevail Union | ATL,"1050 Howell Mill Rd NW, Atlanta, GA 30318",33.7831238,-84.4130648,4.5,203,West Midtown,Atlanta
Foxtail Coffee Co.- Buckhead,"3699 Lenox Rd NE Ste 1, Atlanta, GA 30305",33.848873999999995,-84.3745001,4.4,332,Buckhead,Atlanta
Mend Coffee & Goods,"3655 Roswell Rd NE #106, Atlanta, GA 30342",33.8557714,-84.3820696,4.7,262,Buckhead,Atlanta
Schaf Shop,"905 Juniper St NE, Atlanta, GA 30309",33.7791521,-84.3825595,4.8,134,Midtown,Atlanta
